# ./spanning-lw-membar-statistics -n 4 -a -i 4 2 3 0 0
# setaffinity enabled.
# treq 0 any
# 2000x2000 nodes 2D torus
# Graph constuction time: 0.197274
# v: 4000000 e: 16000000
# search-p finished.
# time: 3.516157
# Iterations: 101
  1        3         
  2        3         
  3        7         
  4        5         
  5        6         
  6        8         
  7        7         
  8        9         
  9        7         
 10       11         
 11        8         
 12        8         
 13       10         
 14       12         
 15       11         
 16       14         
 17       14         
 18       15         
 19       13         
 20       13         
 21       13         
 22       17         
 23       17         
 24       17         
 25       18         
 26       19         
 27       18         
 28       17         
 29       18         
 30       20         
 31       19         
 32       20         
 33       21         
 34       21         
 35       24         
 36       20         
 37       22         
 38       24         
 39       23         
 40       23         
 41       24         
 42       25         
 43       26         
 44       28         
 45       27         
 46       26         
 47       28         
 48       31         
 49       29         
 50       30         
 51       31         
 52       29         
 53       31         
 54       32         
 55       34         
 56       32         
 57       32         
 58       34         
 59       37         
 60       35         
 61       33         
 62       37         
 63       36         
 64       35         
 65       38         
 66       38         
 67       41         
 68       39         
 69       39         
 70       41         
 71       40         
 72       39         
 73       38         
 74       36         
 75       32         
 76       28         
 77       29         
 78       24         
 79       21         
 80       19         
 81       18         
 82       19         
 83       20         
 84       17         
 85       17         
 86       15         
 87       12         
 88       13         
 89       13         
 90       12         
 91       11         
 92       11         
 93       12         
 94       10         
 95        9         
 96        9         
 97        8         
 98        8         
 99        5         
100        6         
101        3         

